cod_distrito,distrito,cod_barrio,barrio,año,unidad_indicador,indicador_completo,valor_indicador
7.0,Chamberí,73.0,Trafalgar,2024,Habitantes/Ha.,Población densidad (hab./Ha.),"413,9238438"
7.0,Chamberí,73.0,Trafalgar,2024,Habitantes,Número Habitantes,25328
7.0,Chamberí,73.0,Trafalgar,2023,Hogares,Total hogares,11905
7.0,Chamberí,74.0,Almagro,2024,Habitantes/Ha.,Población densidad (hab./Ha.),"213,157053"
7.0,Chamberí,74.0,Almagro,2024,Habitantes,Número Habitantes,19992
7.0,Chamberí,74.0,Almagro,2023,Hogares,Total hogares,8109
7.0,Chamberí,75.0,Ríos Rosas,2024,Habitantes/Ha.,Población densidad (hab./Ha.),"286,6721345"
7.0,Chamberí,75.0,Ríos Rosas,2024,Habitantes,Número Habitantes,27962
7.0,Chamberí,75.0,Ríos Rosas,2023,Hogares,Total hogares,12253
7.0,Chamberí,76.0,Vallehermoso,2024,Habitantes/Ha.,Población densidad (hab./Ha.),"189,2817059"
7.0,Chamberí,76.0,Vallehermoso,2024,Habitantes,Número Habitantes,20238
7.0,Chamberí,76.0,Vallehermoso,2023,Hogares,Total hogares,8443
8.0,Fuencarral-El Pardo,81.0,El Pardo,2024,Habitantes/Ha.,Población densidad (hab./Ha.),"0,184451289"
8.0,Fuencarral-El Pardo,81.0,El Pardo,2024,Habitantes,Número Habitantes,3460
8.0,Fuencarral-El Pardo,81.0,El Pardo,2023,Hogares,Total hogares,1316
8.0,Fuencarral-El Pardo,82.0,Fuentelarreina,2024,Habitantes/Ha.,Población densidad (hab./Ha.),"25,30015912"
8.0,Fuencarral-El Pardo,82.0,Fuentelarreina,2024,Habitantes,Número Habitantes,3498
8.0,Fuencarral-El Pardo,82.0,Fuentelarreina,2023,Hogares,Total hogares,1158
8.0,Fuencarral-El Pardo,83.0,Peñagrande,2024,Habitantes/Ha.,Población densidad (hab./Ha.),"155,3146538"
8.0,Fuencarral-El Pardo,83.0,Peñagrande,2024,Habitantes,Número Habitantes,44844
8.0,Fuencarral-El Pardo,83.0,Peñagrande,2023,Hogares,Total hogares,17370
8.0,Fuencarral-El Pardo,84.0,Pilar,2024,Habitantes/Ha.,Población densidad (hab./Ha.),"341,4245892"
8.0,Fuencarral-El Pardo,84.0,Pilar,2024,Habitantes,Número Habitantes,46543
8.0,Fuencarral-El Pardo,84.0,Pilar,2023,Hogares,Total hogares,19653
8.0,Fuencarral-El Pardo,85.0,La Paz,2024,Habitantes/Ha.,Población densidad (hab./Ha.),"150,0974568"
8.0,Fuencarral-El Pardo,85.0,La Paz,2024,Habitantes,Número Habitantes,32343
8.0,Fuencarral-El Pardo,85.0,La Paz,2023,Hogares,Total hogares,12517
8.0,Fuencarral-El Pardo,86.0,Valverde,2024,Habitantes/Ha.,Población densidad (hab./Ha.),"74,45552933"
8.0,Fuencarral-El Pardo,86.0,Valverde,2024,Habitantes,Número Habitantes,66870
8.0,Fuencarral-El Pardo,86.0,Valverde,2023,Hogares,Total hogares,23483
8.0,Fuencarral-El Pardo,87.0,Mirasierra,2024,Habitantes/Ha.,Población densidad (hab./Ha.),"52,54547535"
8.0,Fuencarral-El Pardo,87.0,Mirasierra,2024,Habitantes,Número Habitantes,36744
8.0,Fuencarral-El Pardo,87.0,Mirasierra,2023,Hogares,Total hogares,11425
8.0,Fuencarral-El Pardo,88.0,El Goloso,2024,Habitantes/Ha.,Población densidad (hab./Ha.),"7,396642899"
8.0,Fuencarral-El Pardo,88.0,El Goloso,2024,Habitantes,Número Habitantes,19596
8.0,Fuencarral-El Pardo,88.0,El Goloso,2023,Hogares,Total hogares,5965
9.0,Moncloa-Aravaca,91.0,Casa de Campo,2024,Habitantes/Ha.,Población densidad (hab./Ha.),"7,414407294"
9.0,Moncloa-Aravaca,91.0,Casa de Campo,2024,Habitantes,Número Habitantes,12946
9.0,Moncloa-Aravaca,91.0,Casa de Campo,2023,Hogares,Total hogares,5615
9.0,Moncloa-Aravaca,92.0,Argüelles,2024,Habitantes/Ha.,Población densidad (hab./Ha.),"329,8613861"
9.0,Moncloa-Aravaca,92.0,Argüelles,2024,Habitantes,Número Habitantes,24987
9.0,Moncloa-Aravaca,92.0,Argüelles,2023,Hogares,Total hogares,10711
9.0,Moncloa-Aravaca,93.0,Ciudad Universitaria,2024,Habitantes/Ha.,Población densidad (hab./Ha.),"11,8420591"
9.0,Moncloa-Aravaca,93.0,Ciudad Universitaria,2024,Habitantes,Número Habitantes,16876
9.0,Moncloa-Aravaca,93.0,Ciudad Universitaria,2023,Hogares,Total hogares,6277
9.0,Moncloa-Aravaca,94.0,Valdezarza,2024,Habitantes/Ha.,Población densidad (hab./Ha.),"226,2182469"
9.0,Moncloa-Aravaca,94.0,Valdezarza,2024,Habitantes,Número Habitantes,31614
9.0,Moncloa-Aravaca,94.0,Valdezarza,2023,Hogares,Total hogares,12715
9.0,Moncloa-Aravaca,95.0,Valdemarín,2024,Habitantes/Ha.,Población densidad (hab./Ha.),"22,56169569"
9.0,Moncloa-Aravaca,95.0,Valdemarín,2024,Habitantes,Número Habitantes,7451
9.0,Moncloa-Aravaca,95.0,Valdemarín,2023,Hogares,Total hogares,2078
9.0,Moncloa-Aravaca,96.0,El Plantío,2024,Habitantes/Ha.,Población densidad (hab./Ha.),"8,945071141"
9.0,Moncloa-Aravaca,96.0,El Plantío,2024,Habitantes,Número Habitantes,3156
9.0,Moncloa-Aravaca,96.0,El Plantío,2023,Hogares,Total hogares,953
9.0,Moncloa-Aravaca,97.0,Aravaca,2024,Habitantes/Ha.,Población densidad (hab./Ha.),"48,32533425"
9.0,Moncloa-Aravaca,97.0,Aravaca,2024,Habitantes,Número Habitantes,28193
9.0,Moncloa-Aravaca,97.0,Aravaca,2023,Hogares,Total hogares,8930
10.0,Latina,101.0,Los Cármenes,2024,Habitantes/Ha.,Población densidad (hab./Ha.),"142,5928793"
10.0,Latina,101.0,Los Cármenes,2024,Habitantes,Número Habitantes,18423
10.0,Latina,101.0,Los Cármenes,2023,Hogares,Total hogares,6760
10.0,Latina,102.0,Puerta del Ángel,2024,Habitantes/Ha.,Población densidad (hab./Ha.),"330,9314331"
10.0,Latina,102.0,Puerta del Ángel,2024,Habitantes,Número Habitantes,45513
10.0,Latina,102.0,Puerta del Ángel,2023,Hogares,Total hogares,18239
10.0,Latina,103.0,Lucero,2024,Habitantes/Ha.,Población densidad (hab./Ha.),"226,7540203"
10.0,Latina,103.0,Lucero,2024,Habitantes,Número Habitantes,38072
10.0,Latina,103.0,Lucero,2023,Hogares,Total hogares,14396
10.0,Latina,104.0,Aluche,2024,Habitantes/Ha.,Población densidad (hab./Ha.),"242,0275107"
