nombre,postal,calle,cocina,lat,lon,wheelchair
Cañas y tapas,28010,Calle de Fuencarral,,40.4326414,-3.7041461,
Nájera,28015,Calle de Guzmán el Bueno,,40.4349308,-3.7133349,
Bar Restaurante Emaus,,Calle del Doctor Castelo,spanish,40.4205502,-3.6783029,
Fass,,Calle de Rodríguez Marín,german,40.4514599,-3.678433,
La Tragantía,,Calle del Príncipe de Vergara,,40.4512149,-3.6772063,
La Ancha,,,,40.4493577,-3.6775549,
La Vaca Picada,,,burger,40.5087682,-3.667127,
BLT - Barra Libre de Tapas,,,,40.4709742,-3.5813432,
,28004,Calle del Barco,pizza,40.4233171,-3.702338,
Lupara Bar,,Paseo del Zurrón,italian,40.4696892,-3.5857412,
El Liberal,28042,Paseo del Zurrón,american,40.4697035,-3.5875248,
La Estrella de Oriente,,,,40.4701097,-3.5833353,
Lobato,,,,40.4724643,-3.6506245,
Popa,28016,Calle de Santa María Magdalena,,40.462182,-3.6701079,
La Mano de Pablo,,,regional,40.5111716,-3.6714025,
Beefcious,28050,Paseo de la Tierra de Melide,burger,40.5119108,-3.6702707,
La Mezza,,,,40.5115941,-3.6696293,
,,,,40.506225,-3.6679161,
El Mesón de Fuencarral,,,regional,40.5289203,-3.6935078,
100 Montaditos,28050,Avenida de Manoteras,sandwich,40.4861319,-3.6660539,
Foster's Hollywood,28050,Avenida de Manoteras,american,40.4864162,-3.6662334,
,,,regional,40.4882786,-3.6887416,
Los Montes de Galicia,,,regional,40.4347469,-3.6682597,
Lady Macao,28050,Calle de Palas de Rey,,40.5081428,-3.6685214,
El Vergel,28008,Paseo de la Florida,,40.4241504,-3.7249779,
El Urogallo,28008,Paseo de la Florida,spanish,40.4232064,-3.7231611,
El Inti de Oro,,,peruvian,40.415621,-3.6989812,
El Subastero de Málaga,,,regional,40.4164715,-3.6991796,
Restaurante La Catedral,,Carrera de San Jerónimo,,40.4166035,-3.7010637,
Artemisa,,,,40.4160137,-3.6989734,
El Tronco,28014,Calle de Manuel Fernández y González,regional,40.4151898,-3.6992792,
Anarkoli,28012,Calle de Lavapiés,indian,40.4095795,-3.7023086,
Achuri,,,,40.4081287,-3.6980834,
La Buga del Lobo,28012,Calle de Argumosa,spanish,40.4089902,-3.6997202,
Yin He,,,chinese,40.4002198,-3.7494203,limited
GB-2,,,,40.4007505,-3.7452458,
El Porto,,,,40.4011609,-3.7518806,
El Mercado de Montiz,28011,Calle de Sepúlveda,,40.4005868,-3.7548689,
Cáscaras,,,,40.4250934,-3.7138414,limited
New Bistró,,,,40.4251961,-3.7143347,
Sabores patagónicos,28011,Glorieta del Puente de Segovia,,40.413651,-3.7247707,
La Fogata,,,,40.4136377,-3.7243418,
Horno Santa María,,,,40.4205148,-3.7209324,
Florida Norte,,,,40.4206062,-3.7209429,
Duduá Palacio,28008,Cuesta de San Vicente,,40.4218307,-3.7136481,limited
Epoca de Esteban,,,,40.4811517,-3.6630561,
Il Duomo Di Firence,,,italian,40.461507,-3.5917798,
Restaurante Bar Merendero Madrid,,,,40.4649008,-3.5867715,
Sagar,,Calle de Alonso de Heredia,indian,40.4358615,-3.6723777,
Sumo,28020,Calle de Sor Ángela de la Cruz,sushi,40.4595155,-3.692679,
"Restaurante ""El Cartel""",,,,40.4060991,-3.6981652,
Sake,,,,40.4829415,-3.6710764,
Bokado,,Avenida Juan de Herrera,,40.43983,-3.7292158,yes
Sushicome,28005,Ronda de Segovia,japanese,40.4114722,-3.7183105,
Cervecería-Cafetería La Villa,28031,Calle del Cocherón de la Villa,regional,40.3818514,-3.6325917,
Cervecería la Chata,,,,40.385965,-3.73786,
El Bloque de Ávila,,,,40.3853158,-3.7372966,limited
Parrilla Santa Cruz,,,,40.3867493,-3.7397873,
La Suegra,,,,40.3865105,-3.7400781,
El Secreto de Dora,28025,Avenida de la Plaza de Toros,,40.3858425,-3.7398683,
Casa Corrochano,,,,40.5110892,-3.6692687,
El Rincón del Pinar,28033,Calle de Arturo Soria,,40.481014,-3.6658193,
Delisco,,,,40.4872627,-3.6647503,
Casa Antonio Cortijo De Camas,,Avenida de Alfonso XIII,,40.4521123,-3.6676676,
Gran Vuelo,,,,40.4485857,-3.6669634,
Vips,,,international,40.4456149,-3.6684007,
Fragola,,,,40.4469445,-3.6667624,
El Lacón,28014,Calle de Manuel Fernández y González,spanish,40.415143,-3.6992261,no
Hylogui,28014,Calle de Ventura de la Vega,,40.4160304,-3.6987327,
Restaurante El Goloso,,,,40.55204,-3.7075935,
La Plazuela,28039,Calle de Nuestra Señora del Carmen,,40.4581527,-3.7017824,yes
La Fornia,,,,40.4250441,-3.6540389,
Cuña Verde,,,,40.403137,-3.7378917,
Musashi,28013,Calle de las Conchas,japanese,40.4190028,-3.7077991,
Casa Parrondo,28013,Calle de los Trujillos,regional,40.4189153,-3.7074588,
El Chulo,28013,Cuesta de Santo Domingo,regional,40.4197091,-3.7088582,
Da Nicola,28015,Plaza de los Mostenses,pizza,40.4229516,-3.7087534,limited
La Pantxorga,,,regional,40.5589722,-3.7138959,
Os Ferreiros,,,,40.4656814,-3.5871044,
